Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,Daily_Change,Daily_Return,Day_Range,Day_of_Week,Target_Price,Target_Direction
2023-08-09,1238.8473680717575,1250.7914133404695,1227.1011062817863,1248.9119873046875,11486586.0,1240.7167236328125,1242.5070922851562,1252.5126098632813,10.06461923293,0.6597382475515889,23.690307058683175,2,1254.475830078125,1
2023-08-10,1248.788167272386,1261.177404750792,1240.6276075945868,1254.475830078125,15470598.0,1246.7060546875,1244.1762939453124,1252.6278930664062,5.68766280573891,0.4454951854089506,20.54979715620516,3,1259.767822265625,1
2023-08-11,1252.4975295128647,1265.55449762201,1242.5565564009414,1259.767822265625,22179330.0,1250.4252685546876,1245.1308227539062,1253.0602722167969,7.27029275276027,0.42184887589029607,22.997941221068686,4,1274.6546630859375,1
2023-08-14,1255.737002454242,1277.1523130180672,1248.81289137336,1274.6546630859375,9575812.0,1255.7073486328125,1246.5156372070312,1252.9587951660155,18.917660631695526,1.1817130551516453,28.339421644707272,0,1273.6160888671875,0
2023-08-16,1261.672044700447,1277.3996937112483,1261.672044700447,1273.6160888671875,10203112.0,1262.2852783203125,1249.5795532226562,1252.2633117675782,11.944044166740468,-0.08147887022478262,15.727649010801315,2,1255.2425537109375,0
2023-08-17,1269.6348629683328,1275.0752365265755,1252.695518025622,1255.2425537109375,13673744.0,1263.5513916015625,1252.1340576171874,1250.1606872558593,-14.392309257395254,-1.4426274382724147,22.37971850095346,3,1264.5406494140625,1
2023-08-18,1251.9041214413387,1274.827925208279,1240.6771930744892,1264.5406494140625,18639978.0,1265.56435546875,1256.135205078125,1248.6015319824219,12.636527972723798,0.7407409568482626,34.150732133789916,4,1250.74267578125,0
2023-08-21,1260.6443643964944,1268.3374245054663,1248.5836072167706,1250.74267578125,9221746.0,1263.759326171875,1257.0922973632812,1248.3579895019532,-9.901688615244439,-1.0911451236625624,19.7538172886957,0,1250.44482421875,0
2023-08-22,1249.204008079304,1259.6517042081298,1240.319812990251,1250.44482421875,7713044.0,1258.9173583984375,1257.312353515625,1249.3693969726562,1.2408161394459967,-0.02381397614932279,19.33189121787882,1,1251.8345947265625,1
2023-08-23,1252.8272476636505,1262.0838090060652,1249.228880766707,1251.8345947265625,9517952.0,1254.5610595703124,1258.4231689453125,1250.4898498535156,-0.9926529370879962,0.11114208967042405,12.85492823935806,2,1230.7904052734375,0
2023-08-24,1260.6195534341234,1260.6195534341234,1226.4227081001463,1230.7904052734375,14140020.0,1249.6706298828126,1256.6110107421875,1249.5590515136719,-29.829148160685918,-1.6810678936159063,34.19684533397708,3,1225.1075439453125,0
2023-08-25,1218.9778633049934,1243.2978613921046,1212.32713678729,1225.1075439453125,22222400.0,1241.7840087890625,1253.6741821289063,1248.9252380371095,6.129680640319066,-0.46172453926974777,30.97072460481445,4,1212.8978271484375,0
2023-08-28,1226.9190501118926,1232.8749678308825,1206.6193456890517,1212.8978271484375,12580826.0,1234.2150390625,1248.9871826171875,1247.0590026855468,-14.021222963455102,-0.9966240806545956,26.255622141830827,0,1201.2838134765625,0
2023-08-29,1217.0173382536789,1217.7121468384466,1195.228533637356,1201.2838134765625,16876644.0,1224.3828369140624,1241.65009765625,1244.0828674316406,-15.733524777116372,-0.9575426232875661,22.483613201090748,1,1200.1422119140625,0
2023-08-30,1207.0659417448908,1212.5255327642965,1198.628391987628,1200.1422119140625,12168946.0,1214.0443603515625,1234.3027099609376,1241.9411315917969,-6.923729830828279,-0.09503179429315445,13.897140776668493,2,1194.65771484375,0
